"","label","levels","No","Yes","Total","p"
"1","X29.Feelings.and.attitudes.towards.artificial.intelligence.and.deep.learning.in.medicine.and.radiology...I.am.less.likely.to.consider.a.career.in.radiology..given.the.advancement.of.AI.","Agree","713 (17.2)","80 (23.5)","793 (17.7)","<0.001"
"2","","Disagree","1049 (25.3)","66 (19.4)","1115 (24.8)",""
"3","","Neutral","1649 (39.7)","89 (26.2)","1738 (38.7)",""
"4","","Strongly agree","413 (9.9)","78 (22.9)","491 (10.9)",""
"5","","Strongly disagree","328 (7.9)","27 (7.9)","355 (7.9)",""
"6","X33.At.the.end.of.my.medical.degree..I.will.be.confident.in.using.basic.healthcare.AI.tools.if.required","1","392 (9.4)","17 (5.0)","409 (9.1)","<0.001"
"7","","2","582 (14.0)","35 (10.3)","617 (13.7)",""
"8","","3","1220 (29.4)","76 (22.4)","1296 (28.9)",""
"9","","4","954 (23.0)","83 (24.4)","1037 (23.1)",""
"10","","5","1004 (24.2)","129 (37.9)","1133 (25.2)",""
"11","X34.At.the.end.of.my.medical.degree..I.will.have.a.better.understanding.of.the.methods.used.to.assess.healthcare.AI.algorithm.performance","1","491 (11.8)","16 (4.7)","507 (11.3)","<0.001"
"12","","2","697 (16.8)","39 (11.5)","736 (16.4)",""
"13","","3","1311 (31.6)","85 (25.0)","1396 (31.1)",""
"14","","4","909 (21.9)","85 (25.0)","994 (22.1)",""
"15","","5","744 (17.9)","115 (33.8)","859 (19.1)",""
"16","X35.Overall..at.the.end.of.my.medical.degree..I.feel.I.will.possess.the.knowledge.needed.to.work.with.AI.in.routine.clinical.practice","1","501 (12.1)","18 (5.3)","519 (11.6)","<0.001"
"17","","2","700 (16.9)","39 (11.5)","739 (16.5)",""
"18","","3","1259 (30.3)","83 (24.4)","1342 (29.9)",""
"19","","4","896 (21.6)","83 (24.4)","979 (21.8)",""
"20","","5","796 (19.2)","117 (34.4)","913 (20.3)",""
