"label","levels","Algeria","Egypt","Iraq","Jordan","Libya","Palestine","Sudan","Syria","Yemen","Total","p"
"gender","Female","256 (58.6)","345 (61.3)","327 (61.4)","271 (53.3)","600 (82.2)","248 (63.9)","318 (67.1)","219 (46.1)","184 (47.9)","2768 (61.6)","<0.001"
"","Male","181 (41.4)","218 (38.7)","206 (38.6)","237 (46.7)","130 (17.8)","140 (36.1)","156 (32.9)","256 (53.9)","200 (52.1)","1724 (38.4)",""
"university","Governnmental","427 (97.7)","525 (93.3)","495 (92.9)","504 (99.2)","698 (95.6)","135 (34.8)","405 (85.4)","342 (72.0)","346 (90.1)","3877 (86.3)","<0.001"
"","International","10 (2.3)","3 (0.5)","5 (0.9)","3 (0.6)","22 (3.0)","17 (4.4)","3 (0.6)","2 (0.4)","4 (1.0)","69 (1.5)",""
"","Private","","35 (6.2)","33 (6.2)","1 (0.2)","10 (1.4)","236 (60.8)","66 (13.9)","131 (27.6)","34 (8.9)","546 (12.2)",""
"living_zone","Rural","73 (16.7)","211 (37.5)","78 (14.6)","93 (18.3)","158 (21.6)","133 (34.3)","120 (25.3)","87 (18.3)","53 (13.8)","1006 (22.4)","<0.001"
"","Urban","364 (83.3)","352 (62.5)","455 (85.4)","415 (81.7)","572 (78.4)","255 (65.7)","354 (74.7)","388 (81.7)","331 (86.2)","3486 (77.6)",""
"grade","1","33 (7.6)","31 (5.5)","161 (30.2)","85 (16.7)","261 (35.8)","88 (22.7)","51 (10.8)","13 (2.7)","51 (13.3)","774 (17.2)","<0.001"
"","2","43 (9.8)","48 (8.5)","174 (32.6)","82 (16.1)","94 (12.9)","147 (37.9)","76 (16.0)","36 (7.6)","30 (7.8)","730 (16.3)",""
"","3","51 (11.7)","72 (12.8)","101 (18.9)","172 (33.9)","108 (14.8)","111 (28.6)","141 (29.7)","66 (13.9)","42 (10.9)","864 (19.2)",""
"","4","67 (15.3)","149 (26.5)","40 (7.5)","78 (15.4)","94 (12.9)","19 (4.9)","73 (15.4)","117 (24.6)","114 (29.7)","751 (16.7)",""
"","5","81 (18.5)","79 (14.0)","26 (4.9)","58 (11.4)","58 (7.9)","8 (2.1)","69 (14.6)","113 (23.8)","36 (9.4)","528 (11.8)",""
"","6","58 (13.3)","142 (25.2)","16 (3.0)","16 (3.1)","47 (6.4)","10 (2.6)","42 (8.9)","68 (14.3)","72 (18.8)","471 (10.5)",""
"","Intern (Emtyaz)","104 (23.8)","42 (7.5)","15 (2.8)","17 (3.3)","68 (9.3)","5 (1.3)","22 (4.6)","62 (13.1)","39 (10.2)","374 (8.3)",""
"tech_experience","1","100 (22.9)","42 (7.5)","76 (14.3)","25 (4.9)","65 (8.9)","17 (4.4)","39 (8.2)","32 (6.7)","34 (8.9)","430 (9.6)","<0.001"
"","2","108 (24.7)","113 (20.1)","126 (23.6)","78 (15.4)","117 (16.0)","55 (14.2)","104 (21.9)","100 (21.1)","73 (19.0)","874 (19.5)",""
"","3","157 (35.9)","215 (38.2)","206 (38.6)","201 (39.6)","293 (40.1)","177 (45.6)","201 (42.4)","185 (38.9)","149 (38.8)","1784 (39.7)",""
"","4","56 (12.8)","140 (24.9)","69 (12.9)","148 (29.1)","176 (24.1)","100 (25.8)","82 (17.3)","98 (20.6)","81 (21.1)","950 (21.1)",""
"","5","16 (3.7)","53 (9.4)","56 (10.5)","56 (11.0)","79 (10.8)","39 (10.1)","48 (10.1)","60 (12.6)","47 (12.2)","454 (10.1)",""
