"","Dependent: knowledge_merged_bi"," ","0","1","OR (univariable)","OR (multivariable)"
"3","gender","Female","2469 (89.2)","299 (10.8)","-","-"
"4","","Male","1445 (83.8)","279 (16.2)","1.59 (1.34-1.90, p<0.001)","1.05 (0.86-1.29, p=0.627)"
"19","X3.University","Governnmental","3422 (88.3)","455 (11.7)","-","-"
"20","","International","55 (79.7)","14 (20.3)","1.91 (1.02-3.37, p=0.032)","1.14 (0.54-2.28, p=0.711)"
"21","","Private","437 (80.0)","109 (20.0)","1.88 (1.48-2.36, p<0.001)","1.55 (1.18-2.03, p=0.001)"
"12","living_zone","Rural","893 (88.8)","113 (11.2)","-","-"
"13","","Urban","3021 (86.7)","465 (13.3)","1.22 (0.98-1.52, p=0.079)","1.03 (0.81-1.33, p=0.791)"
"5","grade","1","689 (89.0)","85 (11.0)","-","-"
"6","","2","635 (87.0)","95 (13.0)","1.21 (0.89-1.66, p=0.226)","1.10 (0.77-1.57, p=0.606)"
"7","","3","758 (87.7)","106 (12.3)","1.13 (0.84-1.54, p=0.418)","1.05 (0.75-1.48, p=0.781)"
"8","","4","646 (86.0)","105 (14.0)","1.32 (0.97-1.79, p=0.077)","1.18 (0.83-1.67, p=0.356)"
"9","","5","460 (87.1)","68 (12.9)","1.20 (0.85-1.68, p=0.297)","1.15 (0.78-1.69, p=0.468)"
"10","","6","417 (88.5)","54 (11.5)","1.05 (0.73-1.50, p=0.793)","1.11 (0.74-1.67, p=0.601)"
"11","","Intern (Emtyaz)","309 (82.6)","65 (17.4)","1.71 (1.20-2.42, p=0.003)","1.44 (0.96-2.14, p=0.076)"
"14","tech_experience","1","420 (97.7)","10 (2.3)","-","-"
"15","","2","846 (96.8)","28 (3.2)","1.39 (0.69-3.03, p=0.377)","1.46 (0.72-3.21, p=0.321)"
"16","","3","1641 (92.0)","143 (8.0)","3.66 (2.01-7.49, p<0.001)","3.45 (1.87-7.11, p<0.001)"
"17","","4","750 (78.9)","200 (21.1)","11.20 (6.19-22.84, p<0.001)","10.14 (5.53-20.89, p<0.001)"
"18","","5","257 (56.6)","197 (43.4)","32.19 (17.62-66.07, p<0.001)","25.17 (13.52-52.35, p<0.001)"
"1","AI_training_q","No","3749 (90.3)","403 (9.7)","-","-"
"2","","Yes","165 (48.5)","175 (51.5)","9.87 (7.79-12.50, p<0.001)","7.63 (5.86-9.94, p<0.001)"
