"","Dependent: A13"," ","0","1","OR (univariable)","OR (multivariable)"
"3","gender","Female","921 (54.9)","758 (45.1)","-","-"
"4","","Male","549 (51.1)","526 (48.9)","1.16 (1.00-1.36, p=0.052)","1.10 (0.94-1.30, p=0.220)"
"21","X3.University","Governnmental","1269 (53.6)","1098 (46.4)","-","-"
"22","","International","24 (55.8)","19 (44.2)","0.91 (0.49-1.68, p=0.774)","0.81 (0.43-1.50, p=0.497)"
"23","","Private","177 (51.5)","167 (48.5)","1.09 (0.87-1.37, p=0.453)","1.00 (0.79-1.27, p=0.987)"
"14","living_zone","Rural","311 (52.2)","285 (47.8)","-","-"
"15","","Urban","1159 (53.7)","999 (46.3)","0.94 (0.78-1.13, p=0.509)","0.95 (0.79-1.14, p=0.592)"
"5","grade","1","268 (53.9)","229 (46.1)","-","-"
"6","","2","238 (51.5)","224 (48.5)","1.10 (0.85-1.42, p=0.455)","1.08 (0.83-1.40, p=0.561)"
"7","","3","258 (50.4)","254 (49.6)","1.15 (0.90-1.48, p=0.261)","1.15 (0.89-1.48, p=0.278)"
"8","","4","218 (48.4)","232 (51.6)","1.25 (0.96-1.61, p=0.092)","1.19 (0.92-1.54, p=0.192)"
"9","","5","184 (58.2)","132 (41.8)","0.84 (0.63-1.12, p=0.229)","0.81 (0.60-1.08, p=0.147)"
"10","","6","168 (58.5)","119 (41.5)","0.83 (0.62-1.11, p=0.211)","0.83 (0.61-1.11, p=0.213)"
"11","","Intern (Emtyaz)","136 (59.1)","94 (40.9)","0.81 (0.59-1.11, p=0.189)","0.77 (0.56-1.07, p=0.120)"
"16","tech_experience","1","127 (49.0)","132 (51.0)","-","-"
"17","","2","272 (52.2)","249 (47.8)","0.88 (0.65-1.19, p=0.404)","0.88 (0.65-1.19, p=0.403)"
"18","","3","592 (55.9)","467 (44.1)","0.76 (0.58-1.00, p=0.047)","0.74 (0.56-0.97, p=0.032)"
"19","","4","337 (54.9)","277 (45.1)","0.79 (0.59-1.06, p=0.114)","0.70 (0.52-0.94, p=0.018)"
"20","","5","142 (47.2)","159 (52.8)","1.08 (0.77-1.50, p=0.661)","0.79 (0.56-1.13, p=0.204)"
"1","AI_training_q","No","1377 (55.0)","1126 (45.0)","-","-"
"2","","Yes","93 (37.1)","158 (62.9)","2.08 (1.59-2.72, p<0.001)","1.75 (1.32-2.34, p<0.001)"
"12","knowledge_merged","high/moderate","174 (41.6)","244 (58.4)","-","-"
"13","","low","1296 (55.5)","1040 (44.5)","0.57 (0.46-0.71, p<0.001)","0.63 (0.50-0.80, p<0.001)"
