"","Dependent: A3"," ","0","1","OR (univariable)","OR (multivariable)"
"3","gender","Female","1067 (61.0)","681 (39.0)","-","-"
"4","","Male","726 (63.1)","425 (36.9)","0.92 (0.79-1.07, p=0.270)","0.83 (0.70-0.97, p=0.022)"
"21","X3.University","Governnmental","1581 (63.4)","911 (36.6)","-","-"
"22","","International","17 (43.6)","22 (56.4)","2.25 (1.19-4.31, p=0.013)","1.92 (0.99-3.77, p=0.053)"
"23","","Private","195 (53.0)","173 (47.0)","1.54 (1.23-1.92, p<0.001)","1.43 (1.14-1.81, p=0.002)"
"14","living_zone","Rural","384 (60.5)","251 (39.5)","-","-"
"15","","Urban","1409 (62.2)","855 (37.8)","0.93 (0.78-1.11, p=0.419)","0.92 (0.76-1.11, p=0.380)"
"5","grade","1","275 (56.4)","213 (43.6)","-","-"
"6","","2","266 (59.6)","180 (40.4)","0.87 (0.67-1.13, p=0.309)","0.84 (0.64-1.10, p=0.196)"
"7","","3","353 (64.1)","198 (35.9)","0.72 (0.56-0.93, p=0.011)","0.74 (0.58-0.96, p=0.024)"
"8","","4","293 (59.7)","198 (40.3)","0.87 (0.68-1.12, p=0.292)","0.87 (0.67-1.13, p=0.297)"
"9","","5","243 (69.0)","109 (31.0)","0.58 (0.43-0.77, p<0.001)","0.58 (0.43-0.78, p<0.001)"
"10","","6","200 (62.9)","118 (37.1)","0.76 (0.57-1.02, p=0.065)","0.80 (0.59-1.07, p=0.135)"
"11","","Intern (Emtyaz)","163 (64.4)","90 (35.6)","0.71 (0.52-0.97, p=0.034)","0.69 (0.50-0.96, p=0.027)"
"16","tech_experience","1","177 (63.2)","103 (36.8)","-","-"
"17","","2","348 (64.9)","188 (35.1)","0.93 (0.69-1.26, p=0.628)","0.94 (0.69-1.27, p=0.671)"
"18","","3","700 (62.4)","422 (37.6)","1.04 (0.79-1.36, p=0.798)","0.98 (0.75-1.30, p=0.908)"
"19","","4","400 (61.9)","246 (38.1)","1.06 (0.79-1.42, p=0.709)","0.89 (0.66-1.21, p=0.462)"
"20","","5","168 (53.3)","147 (46.7)","1.50 (1.08-2.09, p=0.015)","1.04 (0.73-1.49, p=0.821)"
"1","AI_training_q","No","1706 (64.5)","940 (35.5)","-","-"
"2","","Yes","87 (34.4)","166 (65.6)","3.46 (2.65-4.56, p<0.001)","2.79 (2.09-3.75, p<0.001)"
"12","knowledge_merged","high/moderate","194 (45.5)","232 (54.5)","-","-"
"13","","low","1599 (64.7)","874 (35.3)","0.46 (0.37-0.56, p<0.001)","0.60 (0.47-0.76, p<0.001)"
