"","Dependent: ai_mc_3"," ","0","1","OR (univariable)","OR (multivariable)"
"3","gender","Female","603 (30.5)","1371 (69.5)","-","-"
"4","","Male","423 (34.6)","799 (65.4)","0.83 (0.71-0.97, p=0.017)","0.72 (0.61-0.85, p<0.001)"
"21","X3.University","Governnmental","912 (33.2)","1839 (66.8)","-","-"
"22","","International","8 (13.8)","50 (86.2)","3.10 (1.55-7.10, p=0.003)","2.24 (1.09-5.25, p=0.042)"
"23","","Private","106 (27.4)","281 (72.6)","1.31 (1.04-1.67, p=0.024)","0.93 (0.72-1.21, p=0.584)"
"14","living_zone","Rural","231 (31.5)","502 (68.5)","-","-"
"15","","Urban","795 (32.3)","1668 (67.7)","0.97 (0.81-1.15, p=0.698)","0.81 (0.67-0.98, p=0.034)"
"5","grade","1","116 (19.9)","468 (80.1)","-","-"
"6","","2","115 (23.0)","386 (77.0)","0.83 (0.62-1.11, p=0.215)","0.79 (0.58-1.07, p=0.122)"
"7","","3","182 (29.6)","432 (70.4)","0.59 (0.45-0.77, p<0.001)","0.53 (0.40-0.70, p<0.001)"
"8","","4","200 (37.8)","329 (62.2)","0.41 (0.31-0.53, p<0.001)","0.37 (0.28-0.49, p<0.001)"
"9","","5","176 (47.3)","196 (52.7)","0.28 (0.21-0.37, p<0.001)","0.26 (0.19-0.34, p<0.001)"
"10","","6","147 (43.2)","193 (56.8)","0.33 (0.24-0.44, p<0.001)","0.29 (0.21-0.39, p<0.001)"
"11","","Intern (Emtyaz)","90 (35.2)","166 (64.8)","0.46 (0.33-0.63, p<0.001)","0.35 (0.25-0.50, p<0.001)"
"16","tech_experience","1","163 (51.3)","155 (48.7)","-","-"
"17","","2","289 (44.7)","358 (55.3)","1.30 (1.00-1.71, p=0.054)","1.34 (1.01-1.78, p=0.040)"
"18","","3","364 (30.1)","844 (69.9)","2.44 (1.90-3.14, p<0.001)","2.58 (1.98-3.36, p<0.001)"
"19","","4","151 (22.4)","523 (77.6)","3.64 (2.74-4.85, p<0.001)","3.64 (2.69-4.93, p<0.001)"
"20","","5","59 (16.9)","290 (83.1)","5.17 (3.64-7.42, p<0.001)","4.40 (3.00-6.50, p<0.001)"
"1","AI_training_q","No","974 (33.2)","1958 (66.8)","-","-"
"2","","Yes","52 (19.7)","212 (80.3)","2.03 (1.50-2.80, p<0.001)","1.22 (0.86-1.74, p=0.270)"
"12","knowledge_merged","high/moderate","63 (13.9)","389 (86.1)","-","-"
"13","","low","963 (35.1)","1781 (64.9)","0.30 (0.23-0.39, p<0.001)","0.43 (0.31-0.58, p<0.001)"
